"SITE","DATE","STANDTEMP","InvGPP","InvER","slope_InvGPP_15_DAY_RANGE","yint_InvGPP_15_DAY_RANGE","Fstatistic_InvGPP_15_DAY_RANGE","dF_InvGPP_15_DAY_RANGE","p_InvGPP_15_DAY_RANGE","slope_InvER_15_DAY_RANGE","yint_InvER_15_DAY_RANGE","Fstatistic_InvER_15_DAY_RANGE","dF_InvER_15_DAY_RANGE","p_InvER_15_DAY_RANGE"
"nwis_01480617",2007-10-01,-0.342107007,0.608227804,1.271180502,0.233745118591344,0.650296266809177,7.13492870854513,1,0.116223930299753,-0.322951467984225,0.669453844765851,0.214805733738627,1,0.688573822452094
"nwis_01480617",2007-10-06,-0.705450862,0.475021192,0.668808178,0.229363171183217,0.633380287333884,5.28290650299538,1,0.10513698944504,-0.343841769576309,0.588809354987396,0.272589136212259,1,0.637699798523703
"nwis_01480617",2007-10-15,0.058026584,0.690652624,0.553956981,0.434566055421015,0.912021420179934,1.30075270450495,1,0.297546150151005,0.307449659526785,0.685704491753623,0.586765825615461,1,0.472721450632827
"nwis_01480617",2007-10-16,-0.075272424,0.578390778,0.527749639,0.423688012008904,0.908274051387051,1.9769655435834,1,0.202513316239125,0.208767977704298,0.651709715222473,0.417269054265155,1,0.538894406550609
"nwis_01480617",2007-10-17,-0.242532138,0.514754343,0.371868146,0.374714334995968,0.920120362558935,1.68006585426986,1,0.236011161727197,0.337584796559528,0.559698291811163,2.67128957021955,1,0.146189472824266
"nwis_01480617",2007-10-24,-0.42323555,1.280359713,0.245698981,0.208274373092564,0.956442759352546,0.29189598989851,1,0.608462495464474,0.657339816622397,0.489917762047446,11.2501708917368,1,0.0153407443292468
"nwis_01480617",2007-10-25,-0.044790516,1.405875555,0.304051779,-0.0966525494693738,0.945006771231444,0.108796114394848,1,0.751169938164443,0.657339816622397,0.489917762047446,11.2501708917368,1,0.0153407443292468
"nwis_01480617",2007-10-30,0.547764424,1.209417154,1.164897298,-0.25333317164211,0.930803306831668,1.75128965112611,1,0.21256135722844,0.497876874151947,0.470144482119394,10.1489204986775,1,0.0128857542808359
"nwis_01480617",2007-10-31,0.484742087,1.097028371,0.602091513,-0.282819619606597,0.961152338842309,2.01510738169518,1,0.186153068543147,0.50402368351048,0.462750142332927,9.07812111184422,1,0.0195791760058793
"nwis_01480617",2007-11-01,0.355130383,1.01248981,0.582762164,-0.230061699034461,1.04106669951742,0.919316265876491,1,0.360262143618779,0.5300983575437,0.443472470291065,8.43156017266717,1,0.0272023634677596
"nwis_01480617",2007-11-09,0.973964085,0.558181954,NA,-0.616661603321507,1.32988282402385,3.06654671510363,1,0.118025053498304,NA,NA,NA,NA,NA
"nwis_01480617",2007-11-10,0.893489146,0.71223702,NA,-0.52990619887605,1.26303854737012,0.899731328523878,1,0.374442252341331,NA,NA,NA,NA,NA
"nwis_01480617",2007-11-11,0.946189106,0.534376401,NA,-0.52990619887605,1.26303854737012,0.899731328523878,1,0.374442252341331,NA,NA,NA,NA,NA
"nwis_01480617",2007-11-12,0.741025923,0.513150243,0.768081527,-0.52990619887605,1.26303854737012,0.899731328523878,1,0.374442252341331,-0.121136410917523,0.777358600007613,0.0589155370970764,1,0.820156478498539
"nwis_01480617",2007-11-13,0.548661882,0.786861835,0.550908043,-0.52990619887605,1.26303854737012,0.899731328523878,1,0.374442252341331,-0.121136410917523,0.777358600007613,0.0589155370970764,1,0.820156478498539
"nwis_01480617",2007-11-15,0.638907834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nwis_01480617",2007-11-16,0.885884687,1.564470881,NA,-0.293439080088822,1.03571541238377,0.1695746499663,1,0.69754855254302,NA,NA,NA,NA,NA
"nwis_01480617",2007-11-20,1.036671445,NA,0.545510892,NA,NA,NA,NA,NA,-0.073530571873102,0.67851966267826,0.0206845096210618,1,0.909064208265172
"nwis_01480617",2008-03-05,0.891055413,0.394389371,NA,0.894037802383695,-0.489160937796536,1.27141013473998,1,0.283496973448601,NA,NA,NA,NA,NA
"nwis_01480617",2008-03-06,1.035446063,0.257828932,0.526107958,0.894037802383695,-0.489160937796536,1.27141013473998,1,0.283496973448601,0.417987830447368,0.0154989098517419,2.12056620083998,1,0.176000811979636
"nwis_01480617",2008-03-07,1.102028217,0.280190063,0.344515549,0.894037802383695,-0.489160937796536,1.27141013473998,1,0.283496973448601,0.417987830447368,0.0154989098517419,2.12056620083998,1,0.176000811979636
