"SITE","DATE","STANDTEMP","InvGPP","InvER","slope_InvGPP_5_DAY_RANGE","yint_InvGPP_5_DAY_RANGE","Fstatistic_InvGPP_5_DAY_RANGE","dF_InvGPP_5_DAY_RANGE","p_InvGPP_5_DAY_RANGE","slope_InvER_5_DAY_RANGE","yint_InvER_5_DAY_RANGE","Fstatistic_InvER_5_DAY_RANGE","dF_InvER_5_DAY_RANGE","p_InvER_5_DAY_RANGE"
"nwis_01480617",2007-10-01,-0.342107007,0.608227804,1.271180502,0.366613086108199,0.733648709615509,NA,1,NA,1.65785746947613,1.83834515891507,NA,1,NA
"nwis_01480617",2007-10-06,-0.705450862,0.475021192,0.668808178,0.366613086108199,0.733648709615509,NA,1,NA,1.65785746947613,1.83834515891507,NA,1,NA
"nwis_01480617",2007-10-15,0.058026584,0.690652624,0.553956981,0.576690013715715,0.644536370231954,19.3716226878988,1,0.14222834318785,0.619448154035158,0.538164584977029,8.81114381439353,1,0.206866514181038
"nwis_01480617",2007-10-16,-0.075272424,0.578390778,0.527749639,0.576690013715715,0.644536370231954,19.3716226878988,1,0.14222834318785,0.619448154035158,0.538164584977029,8.81114381439353,1,0.206866514181038
"nwis_01480617",2007-10-17,-0.242532138,0.514754343,0.371868146,0.576690013715715,0.644536370231954,19.3716226878988,1,0.14222834318785,0.619448154035158,0.538164584977029,8.81114381439353,1,0.206866514181038
"nwis_01480617",2007-10-24,-0.42323555,1.280359713,0.245698981,0.331662013564697,1.42073086772516,NA,1,NA,0.154190946524615,0.310958071057366,NA,1,NA
"nwis_01480617",2007-10-25,-0.044790516,1.405875555,0.304051779,-0.0958797708047641,1.30109923916313,0.286151643694511,1,0.687291922229372,0.991330389222337,0.545200333509303,7.9788560796144,1,0.216611774095258
"nwis_01480617",2007-10-30,0.547764424,1.209417154,1.164897298,-0.448941939651365,1.33191773689828,1.9440633033985,1,0.297925397399579,1.09437199557633,0.296057320888923,3.72365008565069,1,0.193419173708432
"nwis_01480617",2007-10-31,0.484742087,1.097028371,0.602091513,0.967107489237459,0.658980434156798,12.2351890046817,1,0.177272813276911,2.59358305527287,-0.416400186716626,1.45996169328504,1,0.440130296885274
"nwis_01480617",2007-11-01,0.355130383,1.01248981,0.582762164,0.967107489237459,0.658980434156798,12.2351890046817,1,0.177272813276911,2.59358305527287,-0.416400186716626,1.45996169328504,1,0.440130296885274
